Date,Type,Name,Price,Qty,Profit,Reason
2025-08-01,Sell,레버리지,23587.73,82,-1.374540004214024,추세이탈(SMA20)_매도
2025-08-04,Buy,한국카본,30388.928245567393,69,0.0,"스마트_돌파(k=0.59,Vol_OK)"
2025-08-05,Buy,레버리지,25131.91618192728,86,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2025-08-05,Rebalance,한중엔시에스,36050.0,14,0.0,비중초과
2025-08-08,Sell,인버스2X,1290.414,1571,-4.137317106448812,추세이탈(SMA20)_매도
2025-08-18,Buy,인버스2X,1304.019530704236,1641,0.0,"스마트_돌파(k=0.53,Vol_OK)"
2025-08-18,Sell,레버리지,24610.68,86,-2.074000956210849,추세이탈(SMA20)_매도
2025-08-20,Sell,한중엔시에스,33582.7,61,32.5420614329015,추세이탈(SMA20)_매도
2025-08-20,Sell,한국카본,29490.9,69,-2.955116542151763,추세이탈(SMA20)_매도
2025-08-22,Buy,한국카본,30205.042087182825,69,0.0,"스마트_돌파(k=0.57,Vol_OK)"
2025-08-25,Sell,한국카본,29790.3,69,-1.373088923318589,추세이탈(SMA20)_매도
2025-08-27,Buy,한국카본,31575.976710320043,66,0.0,"스마트_돌파(k=0.61,Vol_OK)"
2025-08-28,Sell,인버스2X,1293.408,1641,-0.813755503991987,추세이탈(SMA20)_매도
2025-08-28,Buy,레버리지,25088.417789668845,83,0.0,"스마트_돌파(k=0.56,Vol_OK)"
2025-09-01,Buy,인버스2X,1355.9934565769852,1529,0.0,"스마트_돌파(k=0.59,Vol_OK)"
2025-09-01,Sell,레버리지,23902.1,83,-4.728547649415182,추세이탈(SMA20)_매도
2025-09-03,Buy,레버리지,24732.328872897553,84,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2025-09-05,Sell,인버스2X,1286.422,1529,-5.13066314881847,추세이탈(SMA20)_매도
2025-09-10,Buy,삼성전자,72745.2,29,0.0,MACD_골든크로스(추세장)
2025-09-10,Buy,한중엔시에스,35292.46402391514,59,0.0,"스마트_돌파(k=0.62,Vol_OK)"
2025-09-16,Sell,삼성전자,79241.2,29,8.929798804594666,RSI_과열_익절
2025-09-19,Sell,레버리지,29790.3,84,20.450848575950832,RSI초과열(85)_익절
2025-09-22,Buy,레버리지,30516.751338291804,72,0.0,"스마트_돌파(k=0.45,Vol_OK)"
2025-09-22,Sell,한국카본,31886.1,66,0.9821494756125704,추세이탈(SMA20)_매도
2025-09-23,Sell,레버리지,30858.16,72,1.1187582122471962,RSI초과열(85)_익절
2025-09-24,Buy,한국카본,33251.52374928594,66,0.0,"스마트_돌파(k=0.52,Vol_OK)"
2025-09-25,Sell,한중엔시에스,35079.7,59,-0.6028596466683921,추세이탈(SMA20)_매도
2025-09-25,Sell,한국카본,32385.1,66,-2.6056663021481694,추세이탈(SMA20)_매도
2025-10-01,Buy,레버리지,30497.84586762569,70,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2025-10-01,Buy,한국카본,33758.25269576574,63,0.0,"스마트_돌파(k=0.52,Vol_OK)"
2025-10-14,Buy,한중엔시에스,36863.42493110839,59,0.0,"스마트_돌파(k=0.50,Vol_OK)"
2025-10-17,Rebalance,한중엔시에스,49850.0,10,0.0,비중초과
2025-10-30,Buy,삼성전자,104308.2,24,0.0,MACD_골든크로스(추세장)
2025-10-30,Rebalance,레버리지,43510.0,12,0.0,비중초과
2025-10-31,Sell,삼성전자,107285.0,24,2.853850416362283,RSI_과열_익절
2025-10-31,Sell,레버리지,44445.93,58,45.73465349951352,RSI초과열(85)_익절
2025-11-03,Buy,레버리지,46159.30852189603,55,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2025-11-04,Sell,한국카본,35329.2,63,4.653520780212952,추세이탈(SMA20)_매도
2025-11-14,Sell,레버리지,41631.57,55,-9.808939229989255,추세이탈(SMA20)_매도
2025-11-18,Buy,인버스2X,741.2786572459162,3303,0.0,"스마트_돌파(k=0.50,Vol_OK)"
2025-11-18,Sell,한중엔시에스,45908.0,49,24.535362858427874,추세이탈(SMA20)_매도
2025-11-20,Buy,레버리지,43092.48291444654,56,0.0,"스마트_돌파(k=0.50,Vol_OK)"
2025-11-21,Sell,레버리지,38153.54,56,-11.461263265456406,추세이탈(SMA20)_매도
2025-11-27,Buy,레버리지,42347.21356734535,56,0.0,"스마트_돌파(k=0.50,Vol_OK)"
2025-11-28,Sell,레버리지,40144.55,56,-5.201436840330529,추세이탈(SMA20)_매도
2025-12-02,Sell,인버스2X,716.564,3303,-3.3340575779881423,추세이탈(SMA20)_매도
2025-12-02,Buy,레버리지,41328.26887897031,56,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2025-12-03,Buy,삼성전자,104709.0,22,0.0,MACD_골든크로스(추세장)
2025-12-05,Buy,한중엔시에스,51948.88127487267,46,0.0,"스마트_돌파(k=0.55,Vol_OK)"
2025-12-09,Buy,한국카본,29711.03311869428,80,0.0,"스마트_돌파(k=0.45,Vol_OK)"
2025-12-11,Sell,삼성전자,107085.4,22,2.2695279297863546,RSI_과열_익절
2025-12-16,Buy,인버스2X,711.5376170086626,3304,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2025-12-16,Sell,레버리지,40997.84,56,-0.7995226703977683,추세이탈(SMA20)_매도
2025-12-17,Sell,인버스2X,691.614,3304,-2.8000792273530575,추세이탈(SMA20)_매도
2025-12-17,Buy,레버리지,42386.31475087389,54,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2025-12-17,Sell,한중엔시에스,46906.0,46,-9.707391480077703,추세이탈(SMA20)_매도
2025-12-18,Buy,한중엔시에스,48296.92261716073,48,0.0,"스마트_돌파(k=0.54,Vol_OK)"
