Date,Open,High,Low,Close,Volume,Adj Close
2025-02-20,132.75,137.25,132.39999389648438,133.8000030517578,10758900,125.36904907226562
2025-02-21,133.14999389648438,142.5500030517578,133.10000610351562,142.1999969482422,14456060,133.23973083496094
2025-02-24,140.85000610351562,147.64999389648438,139.89999389648438,147.35000610351562,14006360,138.06524658203125
2025-02-25,148.0,156.35000610351562,147.9499969482422,152.9499969482422,14833580,143.31236267089844
2025-02-26,151.10000610351562,154.8000030517578,147.35000610351562,151.9499969482422,17710080,142.37538146972656
2025-02-27,148.89999389648438,164.89999389648438,148.0,164.60000610351562,20492780,154.22828674316406
2025-02-28,165.14999389648438,168.3000030517578,156.5,157.0,19880060,147.10716247558594
2025-03-03,154.10000610351562,170.6999969482422,152.64999389648438,167.14999389648438,22767900,156.61758422851562
2025-03-04,170.4499969482422,176.9499969482422,160.8000030517578,169.0500030517578,24871640,158.3978729248047
2025-03-05,168.5500030517578,173.5500030517578,160.85000610351562,162.5500030517578,19655320,152.3074493408203
2025-03-06,170.64999389648438,177.9499969482422,165.89999389648438,175.85000610351562,19368860,164.7694091796875
2025-03-07,177.39999389648438,184.5,170.8000030517578,172.35000610351562,20646440,161.48995971679688
2025-03-10,181.1999969482422,196.8000030517578,180.64999389648438,191.85000610351562,17911020,179.76121520996094
2025-03-11,193.1999969482422,199.60000610351562,185.25,194.0,21106840,181.77574157714844
2025-03-12,184.8000030517578,193.85000610351562,182.4499969482422,187.4499969482422,20691540,175.6384735107422
2025-03-13,188.4499969482422,200.0,188.35000610351562,197.6999969482422,16604760,185.24258422851562
2025-03-14,191.14999389648438,191.89999389648438,182.5500030517578,183.64999389648438,18403500,172.07789611816406
2025-03-17,183.6999969482422,185.8000030517578,176.60000610351562,180.10000610351562,15124840,168.75161743164062
2025-03-18,183.89999389648438,191.8000030517578,183.89999389648438,189.1999969482422,13736700,177.2781982421875
2025-03-19,186.8000030517578,189.14999389648438,176.5500030517578,182.0,16553380,170.53187561035156
2025-03-20,186.60000610351562,187.35000610351562,177.85000610351562,183.75,14904100,172.17161560058594
2025-03-21,190.0500030517578,191.39999389648438,181.39999389648438,182.0,13698320,170.53187561035156
2025-03-24,173.75,174.5,169.4499969482422,170.64999389648438,13410540,159.89706420898438
2025-03-25,169.75,170.6999969482422,167.39999389648438,167.60000610351562,9796880,157.03924560546875
2025-03-26,166.35000610351562,175.89999389648438,165.5,174.3000030517578,16307280,165.6997528076172
2025-03-27,176.5,178.89999389648438,172.0,177.35000610351562,15522100,168.59925842285156
